exchange,band_usd,sent_btc,received_usdt,market_usdt,pct_below_market,checked_at_utc
ChangeNOW,200,0.00264000,193.918785,200.333852,3.2022,2026-09-16T18:17:07.015Z
SimpleSwap,200,0.00264000,195.821460,200.175373,2.1750,2026-09-16T18:17:22.310Z
ChangeHero,200,0.00264000,198.570000,200.337258,0.8821,2026-09-16T18:17:31.816Z
Changelly,200,0.00264000,193.976399,200.365453,3.1887,2026-09-16T18:17:44.219Z
SideShift,200,0.00264000,195.574276,200.237809,2.3290,2026-09-16T18:17:54.238Z
ChangeNOW,1000,0.01320000,985.070792,1001.620818,1.6523,2026-09-16T18:17:58.427Z
SimpleSwap,1000,0.01320000,984.013109,1001.260458,1.7226,2026-09-16T18:18:04.500Z
ChangeHero,1000,0.01320000,994.138000,1001.889306,0.7737,2026-09-16T18:18:05.202Z
SideShift,1000,0.01320000,978.083957,1002.295734,2.4156,2026-09-16T18:18:19.880Z
ChangeNOW,5000,0.06590000,4936.221395,5005.632530,1.3867,2026-09-16T18:18:33.302Z
SimpleSwap,5000,0.06590000,4924.315895,5004.287511,1.5981,2026-09-16T18:18:36.243Z
ChangeHero,5000,0.06590000,4962.770000,5001.063682,0.7657,2026-09-16T18:18:39.920Z
Changelly,5000,0.06590000,4882.716029,4999.988195,2.3454,2026-09-16T18:18:42.747Z
SideShift,5000,0.06590000,4877.705104,4995.483930,2.3577,2026-09-16T18:18:55.426Z
ChangeNOW,200,0.00264000,193.847115,200.157184,3.1526,2026-09-16T19:17:08.581Z
SimpleSwap,200,0.00264000,195.739879,200.093533,2.1758,2026-09-16T19:17:22.940Z
ChangeHero,200,0.00264000,198.365000,200.134506,0.8842,2026-09-16T19:17:32.772Z
Changelly,200,0.00264000,193.869223,200.148973,3.1375,2026-09-16T19:17:45.861Z
SideShift,200,0.00264000,195.355644,200.133133,2.3872,2026-09-16T19:17:56.880Z
ChangeNOW,1000,0.01320000,984.106022,1000.401666,1.6289,2026-09-16T19:18:03.398Z
SimpleSwap,1000,0.01320000,982.952605,1000.367610,1.7409,2026-09-16T19:18:06.801Z
ChangeHero,1000,0.01320000,992.514000,1000.367610,0.7851,2026-09-16T19:18:07.166Z
SideShift,1000,0.01320000,977.090405,1000.850466,2.3740,2026-09-16T19:18:21.390Z
ChangeNOW,5000,0.06590000,4930.935913,4996.801930,1.3182,2026-09-16T19:18:36.476Z
SimpleSwap,5000,0.06590000,4916.973758,4994.861174,1.5594,2026-09-16T19:18:41.453Z
ChangeHero,5000,0.06590000,4956.080000,4993.802821,0.7554,2026-09-16T19:18:42.177Z
Changelly,5000,0.06590000,4876.646317,4993.145139,2.3332,2026-09-16T19:18:43.351Z
SideShift,5000,0.06590000,4873.118921,4991.618895,2.3740,2026-09-16T19:18:56.412Z
ChangeNOW,200,0.00262000,186.438615,199.664973,6.6243,2026-09-16T20:17:06.163Z
SimpleSwap,200,0.00262000,195.331237,199.664973,2.1705,2026-09-16T20:17:18.494Z
ChangeHero,200,0.00262000,197.930000,199.743573,0.9080,2026-09-16T20:17:27.996Z
Changelly,200,0.00262000,193.511974,199.727853,3.1122,2026-09-16T20:17:39.844Z
SideShift,200,0.00262000,195.038000,199.775013,2.3712,2026-09-16T20:17:50.049Z
ChangeNOW,1000,0.01310000,981.831883,998.901266,1.7088,2026-09-16T20:17:54.028Z
SimpleSwap,1000,0.01310000,980.821120,998.901266,1.8100,2026-09-16T20:17:57.095Z
ChangeHero,1000,0.01310000,991.803000,999.503866,0.7705,2026-09-16T20:17:57.900Z
Changelly,1000,0.01310000,975.138694,999.791935,2.4658,2026-09-16T20:18:03.930Z
SideShift,1000,0.01310000,976.062471,999.792066,2.3735,2026-09-16T20:18:15.421Z
ChangeNOW,5000,0.06560000,4937.090330,5004.493128,1.3468,2026-09-16T20:18:29.122Z
SimpleSwap,5000,0.06560000,4928.771354,5004.493128,1.5131,2026-09-16T20:18:31.930Z
ChangeHero,5000,0.06560000,4964.780000,5002.918728,0.7623,2026-09-16T20:18:32.489Z
Changelly,5000,0.06560000,4886.895082,5003.705928,2.3345,2026-09-16T20:18:38.708Z
SideShift,5000,0.06560000,4886.076308,5005.411528,2.3841,2026-09-16T20:18:50.392Z
ChangeNOW,200,0.00263000,193.860018,200.248213,3.1901,2026-09-16T21:17:06.703Z
SimpleSwap,200,0.00263000,195.806317,200.253473,2.2208,2026-09-16T21:17:18.981Z
ChangeHero,200,0.00263000,198.410000,200.253473,0.9206,2026-09-16T21:17:28.470Z
Changelly,200,0.00263000,193.959489,200.229014,3.1312,2026-09-16T21:17:40.893Z
SideShift,200,0.00263000,195.459480,200.221913,2.3786,2026-09-16T21:17:50.861Z
