exchange,band_usd,sent_btc,received_usdt,market_usdt,pct_below_market,checked_at_utc
ChangeNOW,200,0.00259,193.641232,199.98427295,3.1718,2026-09-13T04:41:02.553Z
SimpleSwap,200,0.00259,195.333354,199.98427295,2.3256,2026-09-13T04:41:19.612Z
ChangeHero,200,0.00259,198.38,199.98427295,0.8022,2026-09-13T04:41:39.782Z
ChangeNOW,1000,0.013,987.219893,1003.782065,1.6500,2026-09-13T04:41:50.567Z
SimpleSwap,1000,0.013,986.8392,1003.782065,1.6879,2026-09-13T04:41:54.982Z
ChangeHero,1000,0.013,996.136,1003.782065,0.7617,2026-09-13T04:42:07.670Z
ChangeNOW,200,0.00259,193.828157,200.20615824999996,3.1857,2026-09-13T06:17:05.433Z
SimpleSwap,200,0.00259,195.75316,200.20615824999996,2.2242,2026-09-13T06:17:16.841Z
ChangeHero,200,0.00259,198.594,200.20615824999996,0.8052,2026-09-13T06:17:26.365Z
ChangeNOW,1000,0.0129,980.692163,997.1658074999998,1.6520,2026-09-13T06:17:41.223Z
SimpleSwap,1000,0.0129,980.235611,997.1658074999998,1.6978,2026-09-13T06:17:42.018Z
ChangeHero,1000,0.0129,989.656,997.1658074999998,0.7531,2026-09-13T06:17:52.277Z
ChangeNOW,5000,0.0647,4937.939765,5001.288972499999,1.2667,2026-09-13T06:18:15.491Z
SimpleSwap,5000,0.0647,4924.034972,5001.288972499999,1.5447,2026-09-13T06:18:18.652Z
ChangeHero,5000,0.0647,4963.88,5001.288972499999,0.7480,2026-09-13T06:18:27.331Z
ChangeNOW,200,0.00259,193.521799,199.88826164999998,3.1850,2026-09-13T07:17:06.495Z
SimpleSwap,200,0.00259,195.71087,199.89618704999998,2.0937,2026-09-13T07:17:18.128Z
ChangeHero,200,0.00259,198.295,199.89618704999998,0.8010,2026-09-13T07:17:27.645Z
ChangeNOW,1000,0.013,986.676787,1003.3399349999999,1.6608,2026-09-13T07:17:41.507Z
SimpleSwap,1000,0.013,986.364704,1003.3399349999999,1.6919,2026-09-13T07:17:42.608Z
ChangeHero,1000,0.013,995.706,1003.3399349999999,0.7609,2026-09-13T07:17:53.531Z
ChangeNOW,5000,0.0648,4937.3304,5000.772492,1.2686,2026-09-13T07:18:15.725Z
SimpleSwap,5000,0.0648,4924.126961,5000.772492,1.5327,2026-09-13T07:18:18.997Z
ChangeHero,5000,0.0648,4962.94,5000.772492,0.7565,2026-09-13T07:18:28.534Z
ChangeNOW,200,0.0026,194.016668,200.37200299999998,3.1718,2026-09-13T08:17:06.251Z
SimpleSwap,200,0.0026,196.179479,200.37200299999998,2.0924,2026-09-13T08:17:18.442Z
ChangeHero,200,0.0026,198.714,200.34873299999998,0.8159,2026-09-13T08:17:28.026Z
ChangeNOW,1000,0.013,985.257314,1001.582205,1.6299,2026-09-13T08:17:42.155Z
SimpleSwap,1000,0.013,984.94672,1001.581555,1.6609,2026-09-13T08:17:43.081Z
ChangeHero,1000,0.013,993.749,1001.390065,0.7630,2026-09-13T08:17:54.299Z
ChangeNOW,5000,0.0649,4936.921479,4998.0791245,1.2236,2026-09-13T08:18:15.465Z
SimpleSwap,5000,0.0649,4921.215064,4998.0791245,1.5379,2026-09-13T08:18:19.687Z
ChangeHero,5000,0.0649,4960.37,4998.0791245,0.7545,2026-09-13T08:18:28.868Z
ChangeNOW,200,0.0026,193.268223,199.667767,3.2051,2026-09-13T09:17:05.917Z
SimpleSwap,200,0.0026,195.491707,199.667767,2.0915,2026-09-13T09:17:16.760Z
ChangeHero,200,0.0026,198.055,199.67226499999998,0.8100,2026-09-13T09:17:26.451Z
ChangeNOW,1000,0.013,981.877031,998.331295,1.6482,2026-09-13T09:17:42.685Z
SimpleSwap,1000,0.013,981.479712,998.331295,1.6880,2026-09-13T09:17:44.450Z
ChangeHero,1000,0.013,990.761,998.331295,0.7583,2026-09-13T09:17:52.259Z
ChangeNOW,5000,0.0651,4935.454402,5000.070925500001,1.2923,2026-09-13T09:18:15.554Z
SimpleSwap,5000,0.0651,4923.30072,5000.070925500001,1.5354,2026-09-13T09:18:20.248Z
ChangeHero,5000,0.0651,4962.58,5000.3664795,0.7557,2026-09-13T09:18:27.230Z
ChangeNOW,200,0.0026,193.333294,199.67998699999998,3.1784,2026-09-13T10:17:06.349Z
SimpleSwap,200,0.0026,195.499456,199.67998699999998,2.0936,2026-09-13T10:17:18.316Z
ChangeHero,200,0.0026,198.093,199.67998699999998,0.7948,2026-09-13T10:17:27.904Z
ChangeNOW,1000,0.013,981.959542,998.3999349999999,1.6467,2026-09-13T10:17:40.115Z
SimpleSwap,1000,0.013,981.539872,998.3999349999999,1.6887,2026-09-13T10:17:42.478Z
ChangeHero,1000,0.013,990.841,998.3999349999999,0.7571,2026-09-13T10:17:53.747Z
